NAMESPACE,PRODUCT,IGNORED,IGNORED_REASON,COLLECTIONS
VIGINOND-DIFFUSION,,true,Waiting for MCP use case definition,"stationhydro|zich|zip"
ZONES-A-PROSPECTER-FORETS-SUBNATURELLES,,true,Waiting for MCP use case definition,zones_a_prospecter_forets_subnaturelles
ZZZ_INAO_LaCiotat,,true,Test data,"batiment|commune|point_du_reseau|troncon_de_route"
aeag-rwbody-sdage2022,,true,Test data,rwbody_ag_sdage2022
batiment_tp100_gpkg_wfs,,true,No matching rule,batiment_tp100
carr_10km_gpkg_24-10-2024_wfs,,true,Test data,carr_10km
carr_1km_zip_24-10-2024_wfs,,true,Test data,carr_1km
carr_200m_zip_24-10-2024_wfs,,true,Test data,carr_200m
cartes,,true,Image index dataset,"dataset|image"
cartes_anciennes,,true,Image index dataset,"dataset|image"
cavp_zae_zip_03-02-2026_wfs,,true,Test data,ZAE_CA_Val_Parisis
charbo_gpkg_30-10-2025_wfs,,true,Test data,"detections_charbonnieres|detections_ldo_fours"
commune_d34OPenIG_gpkg_26-03-2025_wfs,,true,Test data,commune_d034_20170303zip
communes_972,,true,Test data,commune972
cosia_032_aubiet,,true,Test data,data_aubiet_25_05
dgac_peb_arrete_wfs,,true,Test data,dgac_peb_arrete_wfs
dgac_psa_arrete_wfs,,true,Test data,dgac_psa_arrete
ecoregions,ecoregions,true,Waiting for MCP use case definition,"pays|regions_ecologiques"
espace_revendeurs,ESPACE_REVENDEURS,true,Waiting for MCP use case definition,"grid|product"
fr_qa_stations,unknown,true,Fail to assign to an existing product,stations_qualite_air
guadeloupe_2024_test_gpkg_04-02-2026_wfs,,true,Test data,guadeloupe_2024_test
igngpf_4902_20260309_tables_sans_tirets,,true,Test data,parcs_photovoltaiques
jpe_test_open_io,,true,Test data,formation_vegetale
l_rgc_l_008_20-02-2026_wfs,,true,Test data,l_rgc_l_008
l_rgc_l_008_gpkg_20-02-2026_wfs,,true,Test data,l_rgc_l_008
lls_wfs,,true,Test data,llssiap
masseeausouterraine972_wfs,,true,Test data,MasseEauSouterraine972
monterritoire_gpkg_29-07-2025_wfs,,true,Test data,forets_de_mon_territoire
n_dfci_zone_regl_s_034_zip_03-02-2026_wfs,,true,Test data,n_dfci_zone_regl_s_034
n_zone_reg_pprn_20180013_s_072_gpkg_05-11-2025_wfs,,true,Test data,n_zone_reg_pprn_20180013_s_072
paec_bfc_2023,,true,Waiting for MCP use case definition,Territoires_paec_bfc_2023
paec_bfc_2024,,true,Waiting for MCP use case definition,Territoires_paec_bfc_2024
